customer_id,concept_id,segment,demo_date,feedback_score,follow_up_requested,decision_maker_present,objections_count
CUST0108,C025,Enterprise,2025-11-11,3.1,1.0,,1.0
CUST0109,C025,Public Sector,2025-12-18,,1.0,1.0,1.0
CUST0110,C025,Mid-Market,2026-05-29,4.1,1.0,1.0,2.0
CUST0111,C025,Mid-Market,2025-10-03,5.0,1.0,1.0,1.0
CUST0112,C025,Enterprise,2025-09-21,1.5,1.0,0.0,0.0
CUST0113,C026,Public Sector,2025-10-28,2.8,0.0,1.0,0.0
CUST0114,C026,SMB,2026-01-25,4.1,1.0,0.0,0.0
CUST0115,C026,Mid-Market,2026-04-24,3.6,0.0,1.0,0.0
CUST0116,C027,Mid-Market,2026-02-27,3.9,1.0,0.0,1.0
CUST0117,C027,Enterprise,2025-12-23,3.9,1.0,1.0,3.0
CUST0118,C028,Public Sector,2025-10-29,3.8,0.0,1.0,1.0
CUST0119,C028,Enterprise,2026-01-29,4.3,1.0,0.0,1.0
CUST0120,C028,Public Sector,2026-04-01,1.4,1.0,1.0,1.0
CUST0121,C028,Enterprise,2026-01-10,3.0,0.0,0.0,1.0
CUST0122,C028,Enterprise,2025-10-23,2.5,1.0,1.0,0.0
CUST0123,C028,Public Sector,2025-09-15,3.5,1.0,0.0,1.0
CUST0124,C028,Public Sector,2025-11-12,4.1,1.0,0.0,
CUST0125,C028,Mid-Market,2026-01-17,5.0,1.0,0.0,3.0
CUST0126,C029,Mid-Market,2026-05-12,3.2,1.0,1.0,1.0
CUST0127,C029,Public Sector,2026-03-17,3.6,1.0,1.0,2.0
CUST0128,C029,Mid-Market,2025-09-10,3.4,0.0,1.0,3.0
CUST0129,C029,Mid-Market,2026-05-19,4.3,0.0,1.0,1.0
CUST0130,C029,Enterprise,2025-11-27,1.4,1.0,0.0,1.0
CUST0131,C029,Mid-Market,2025-10-31,4.9,0.0,1.0,5.0
CUST0132,C030,SMB,2026-06-04,2.4,1.0,0.0,1.0
CUST0133,C030,Public Sector,2025-12-28,2.2,0.0,1.0,2.0
CUST0134,C030,Public Sector,2026-03-30,2.4,1.0,0.0,1.0
CUST0135,C030,SMB,2026-01-26,3.2,1.0,0.0,1.0
CUST0136,C031,Public Sector,2026-03-28,4.6,1.0,0.0,0.0
CUST0137,C031,Public Sector,2026-06-22,4.1,1.0,1.0,1.0
CUST0138,C031,Public Sector,2026-05-03,3.6,1.0,0.0,
CUST0139,C031,Enterprise,2026-02-16,3.1,1.0,0.0,1.0
CUST0140,C031,Enterprise,2026-04-20,5.0,0.0,,0.0
CUST0141,C032,Public Sector,2026-02-19,3.0,1.0,0.0,1.0
CUST0142,C032,Public Sector,2026-02-27,5.0,1.0,1.0,1.0
CUST0143,C032,Public Sector,2026-03-18,2.9,1.0,1.0,0.0
CUST0144,C032,SMB,2025-11-12,4.3,0.0,1.0,2.0
CUST0145,C032,SMB,2026-02-09,3.7,1.0,0.0,0.0
CUST0146,C033,Public Sector,2025-10-26,3.4,,1.0,2.0
CUST0147,C033,SMB,2026-03-25,,0.0,0.0,3.0
CUST0148,C033,Public Sector,2026-03-27,3.2,0.0,1.0,2.0
CUST0149,C033,Public Sector,2025-11-10,2.7,0.0,1.0,4.0
CUST0150,C033,Public Sector,2026-01-04,1.5,0.0,1.0,2.0
CUST0151,C033,Enterprise,2025-09-07,1.0,1.0,1.0,0.0
CUST0152,C034,Enterprise,2025-12-03,4.0,1.0,1.0,0.0
CUST0153,C034,Mid-Market,2026-03-15,5.0,1.0,0.0,2.0
CUST0154,C034,SMB,2026-03-22,3.3,1.0,0.0,2.0
CUST0155,C035,Mid-Market,2026-05-17,,,1.0,0.0
CUST0156,C035,Mid-Market,2026-02-26,3.9,0.0,0.0,2.0
CUST0157,C035,SMB,2025-09-04,1.1,1.0,1.0,3.0
CUST0158,C035,Enterprise,2025-10-15,3.7,0.0,1.0,3.0
CUST0159,C035,Public Sector,2026-02-12,3.2,1.0,0.0,0.0
CUST0160,C035,Mid-Market,2026-05-07,3.2,1.0,0.0,0.0
CUST0161,C036,Enterprise,2026-01-29,1.5,1.0,0.0,3.0
CUST0162,C036,Enterprise,2026-04-17,3.5,0.0,1.0,1.0
CUST0163,C036,Enterprise,2025-11-18,2.6,1.0,0.0,0.0
CUST0164,C037,Mid-Market,2026-04-13,3.8,1.0,1.0,1.0
CUST0165,C037,Mid-Market,2025-11-16,3.4,0.0,1.0,1.0
CUST0166,C037,Mid-Market,2026-01-14,4.3,0.0,0.0,1.0
CUST0167,C037,SMB,2026-03-06,4.5,1.0,1.0,0.0
CUST0168,C038,Public Sector,2025-09-22,5.0,1.0,1.0,5.0
CUST0169,C038,Mid-Market,2025-11-12,2.3,0.0,1.0,6.0
CUST0170,C038,Enterprise,2025-11-20,3.1,1.0,1.0,3.0
CUST0171,C039,Enterprise,2026-06-12,2.0,0.0,0.0,2.0
CUST0172,C039,Public Sector,2025-12-10,1.3,0.0,0.0,
CUST0173,C040,SMB,2026-02-21,,0.0,1.0,0.0
CUST0174,C040,Public Sector,2025-09-11,3.7,,0.0,0.0
CUST0175,C040,SMB,2025-09-15,,0.0,0.0,3.0
CUST0176,C041,Public Sector,2026-03-03,5.0,1.0,,2.0
CUST0177,C041,Public Sector,2025-11-17,3.9,1.0,0.0,0.0
CUST0178,C042,Enterprise,2025-11-14,1.4,0.0,1.0,7.0
CUST0179,C042,SMB,2026-06-25,1.0,0.0,1.0,1.0
CUST0180,C042,Enterprise,2026-05-12,1.2,0.0,0.0,2.0
CUST0181,C042,Mid-Market,2025-10-10,4.6,1.0,1.0,4.0
CUST0182,C043,Mid-Market,2025-12-14,5.0,1.0,0.0,
CUST0183,C043,Enterprise,2025-10-01,3.3,1.0,0.0,0.0
CUST0184,C043,Mid-Market,2025-10-28,2.8,0.0,0.0,1.0
CUST0185,C043,Mid-Market,2026-02-09,5.0,,1.0,0.0
CUST0186,C043,Enterprise,2026-01-06,4.3,1.0,0.0,0.0
CUST0187,C044,Public Sector,2026-05-20,,0.0,0.0,0.0
CUST0188,C044,Mid-Market,2026-01-21,1.5,0.0,0.0,0.0
CUST0189,C044,SMB,2025-09-30,3.2,1.0,0.0,4.0
CUST0190,C044,Enterprise,2026-03-30,1.6,0.0,0.0,3.0
CUST0191,C045,Mid-Market,2026-03-23,3.6,1.0,1.0,0.0
CUST0192,C045,Mid-Market,2025-12-17,1.3,1.0,1.0,2.0
CUST0193,C046,SMB,2025-12-30,1.5,0.0,1.0,1.0
CUST0194,C046,Enterprise,2025-11-30,4.0,0.0,1.0,3.0
CUST0195,C046,Public Sector,2025-11-12,,0.0,1.0,1.0
CUST0196,C046,Public Sector,2026-01-29,2.0,0.0,0.0,
CUST0197,C046,Public Sector,2026-03-07,2.2,0.0,0.0,2.0
CUST0198,C046,Enterprise,2026-05-23,1.0,0.0,0.0,1.0
CUST0199,C047,Mid-Market,2025-09-03,1.3,,1.0,5.0
CUST0200,C047,Enterprise,2025-09-11,1.1,0.0,1.0,2.0
CUST0201,C047,Enterprise,2026-04-29,1.1,0.0,1.0,4.0
CUST0202,C047,Mid-Market,2026-02-18,1.6,0.0,0.0,
CUST0203,C047,SMB,2026-03-04,1.0,0.0,1.0,2.0
CUST0204,C047,Enterprise,2026-02-19,2.3,0.0,0.0,6.0
CUST0205,C047,SMB,2026-05-22,1.0,0.0,1.0,
CUST0206,C047,Enterprise,2025-10-20,1.0,0.0,1.0,4.0
CUST0207,C048,Mid-Market,2025-10-19,5.0,0.0,0.0,3.0
CUST0208,C048,Enterprise,2026-03-03,4.5,1.0,0.0,2.0
CUST0209,C048,SMB,2026-05-28,1.9,1.0,0.0,3.0
CUST0210,C048,Mid-Market,2026-06-28,1.9,0.0,1.0,
CUST0211,C049,SMB,2026-05-22,3.8,0.0,1.0,2.0
CUST0212,C049,SMB,2025-10-31,1.0,0.0,0.0,2.0
CUST0213,C049,SMB,2026-03-08,1.2,0.0,0.0,2.0
CUST0214,C049,SMB,2026-03-01,3.8,0.0,1.0,
CUST0215,C050,Public Sector,2026-01-11,1.6,1.0,0.0,1.0
CUST0216,C050,Enterprise,2026-05-23,3.3,,1.0,3.0
