customer_id,concept_id,pilot_interest,urgency_score,budget_signal,willingness_to_pay,expected_value,implementation_risk
CUST0077,C019,1.0,21.2,Likely,22194.0,44454.0,18.0
CUST0078,C019,1.0,39.7,Likely,13713.0,93755.0,51.5
CUST0079,C019,0.0,23.8,Confirmed,,130447.0,39.4
CUST0083,C020,1.0,,Likely,36540.0,0.0,52.4
CUST0085,C020,0.0,77.9,Likely,,210203.0,59.7
CUST0084,C020,1.0,47.3,Likely,51249.0,111562.0,53.0
CUST0082,C020,0.0,80.8,Unclear,,38029.0,52.3
CUST0087,C020,1.0,51.1,Unclear,39499.0,120309.0,62.5
CUST0088,C021,1.0,4.8,Likely,7345.0,162118.0,83.7
CUST0089,C021,1.0,0.0,None,13476.0,28981.0,82.1
CUST0090,C021,1.0,11.8,Unclear,19486.0,,67.5
CUST0091,C021,1.0,,Confirmed,3584.0,66077.0,71.9
CUST0092,C022,0.0,42.9,Unclear,7692.0,91043.0,99.1
CUST0093,C022,0.0,38.3,None,0.0,81748.0,93.9
CUST0094,C022,0.0,0.0,None,20797.0,38302.0,97.4
CUST0095,C022,0.0,2.8,Confirmed,22913.0,18876.0,85.1
CUST0096,C023,,50.9,Likely,57283.0,76773.0,20.6
CUST0097,C023,0.0,96.0,Likely,54895.0,204467.0,29.9
CUST0098,C023,1.0,47.1,Likely,38569.0,142242.0,40.2
CUST0099,C024,0.0,27.1,Unclear,30995.0,157850.0,21.7
CUST0101,C024,0.0,50.1,Unclear,15341.0,,34.0
CUST0100,C024,1.0,60.5,Likely,,124914.0,47.0
CUST0104,C024,0.0,37.5,,36370.0,181695.0,20.4
CUST0102,C024,0.0,38.4,Likely,15651.0,150291.0,
CUST0111,C025,1.0,94.3,Likely,53151.0,179994.0,52.7
CUST0107,C025,0.0,95.6,None,35132.0,276330.0,71.6
CUST0108,C025,0.0,81.0,Confirmed,38433.0,303492.0,35.0
CUST0110,C025,1.0,95.2,Unclear,33525.0,219654.0,44.3
CUST0106,C025,1.0,78.6,Confirmed,25962.0,,62.5
CUST0113,C026,1.0,83.6,Unclear,68382.0,182992.0,15.8
CUST0114,C026,1.0,99.6,Unclear,56649.0,,10.9
CUST0115,C026,1.0,98.0,None,56563.0,,23.8
CUST0116,C027,0.0,67.2,None,29296.0,113777.0,40.9
CUST0117,C027,0.0,67.3,Confirmed,20111.0,134846.0,57.6
CUST0118,C028,0.0,59.9,None,59564.0,86051.0,40.1
CUST0122,C028,1.0,53.4,,38891.0,116775.0,12.1
CUST0123,C028,0.0,85.0,Unclear,36410.0,106041.0,15.8
CUST0119,C028,0.0,41.3,Likely,26672.0,154093.0,25.7
CUST0124,C028,1.0,62.3,Unclear,39082.0,190500.0,14.7
CUST0129,C029,0.0,62.0,Unclear,24487.0,124538.0,66.3
CUST0128,C029,1.0,97.8,None,37088.0,148893.0,43.2
CUST0126,C029,1.0,67.8,None,53706.0,231324.0,52.8
CUST0130,C029,1.0,67.2,Unclear,56063.0,334667.0,41.7
CUST0131,C029,1.0,51.1,None,35260.0,182715.0,45.1
CUST0132,C030,1.0,46.2,Unclear,37082.0,240589.0,41.3
CUST0133,C030,1.0,40.0,Likely,26568.0,187895.0,52.0
CUST0134,C030,,55.8,Confirmed,38505.0,133507.0,55.5
CUST0135,C030,1.0,57.2,None,20623.0,324934.0,55.2
CUST0136,C031,1.0,48.5,Unclear,53631.0,153604.0,
CUST0137,C031,1.0,59.6,Unclear,33985.0,132413.0,71.7
CUST0138,C031,1.0,70.7,Likely,47847.0,127776.0,85.4
CUST0139,C031,1.0,45.4,None,52098.0,133477.0,64.6
CUST0140,C031,1.0,66.2,Likely,49678.0,155626.0,63.0
CUST0141,C032,0.0,72.2,None,57794.0,210916.0,20.6
CUST0142,C032,1.0,82.3,Unclear,24610.0,108934.0,14.9
CUST0143,C032,0.0,88.8,Likely,43781.0,266700.0,34.8
CUST0144,C032,0.0,77.7,Unclear,46187.0,125155.0,20.5
CUST0145,C032,,67.9,Likely,48870.0,117062.0,17.4
CUST0148,C033,0.0,29.2,Unclear,34284.0,,76.4
CUST0150,C033,1.0,46.4,Confirmed,9354.0,,49.7
CUST0147,C033,0.0,59.5,Confirmed,35563.0,74393.0,61.4
CUST0149,C033,0.0,50.4,None,26056.0,117664.0,
CUST0151,C033,0.0,70.2,Unclear,48136.0,167100.0,58.3
CUST0152,C034,1.0,80.3,Confirmed,2905.0,221778.0,7.9
CUST0153,C034,0.0,58.2,None,30808.0,,0.0
CUST0154,C034,1.0,33.4,Confirmed,41708.0,178063.0,5.6
CUST0159,C035,0.0,56.2,Unclear,43630.0,206086.0,0.0
CUST0157,C035,1.0,60.4,None,,199703.0,
CUST0156,C035,1.0,,Unclear,52588.0,149691.0,0.0
CUST0160,C035,1.0,64.7,Confirmed,,212786.0,11.5
CUST0155,C035,1.0,56.5,Confirmed,37866.0,258417.0,22.1
CUST0161,C036,1.0,49.2,None,54208.0,227058.0,95.7
CUST0162,C036,,54.9,Unclear,33143.0,325532.0,100.0
CUST0163,C036,1.0,,,,191712.0,
CUST0164,C037,1.0,90.9,Likely,30148.0,341691.0,69.0
CUST0165,C037,1.0,,None,,228196.0,56.1
CUST0166,C037,1.0,71.7,Likely,46599.0,320649.0,65.8
CUST0167,C037,1.0,62.8,Likely,37588.0,264054.0,58.6
CUST0168,C038,,61.4,None,26122.0,143220.0,39.8
CUST0169,C038,0.0,61.7,Likely,22960.0,45926.0,32.8
CUST0170,C038,0.0,62.5,,47508.0,23972.0,39.8
CUST0171,C039,0.0,13.5,Unclear,,55335.0,60.8
CUST0172,C039,0.0,8.5,Likely,0.0,0.0,32.6
CUST0173,C040,0.0,65.6,None,30105.0,290639.0,39.3
CUST0174,C040,1.0,66.6,Likely,44698.0,237136.0,24.2
CUST0175,C040,1.0,66.2,Likely,,185645.0,47.8
CUST0176,C041,1.0,64.8,Likely,13744.0,211213.0,39.5
CUST0177,C041,1.0,70.0,Confirmed,46342.0,127636.0,
CUST0178,C042,0.0,7.6,Unclear,26453.0,,30.8
CUST0179,C042,,12.5,Unclear,19664.0,139214.0,50.0
CUST0180,C042,0.0,29.5,Unclear,27873.0,147351.0,47.0
CUST0181,C042,0.0,43.5,Confirmed,17379.0,196293.0,38.1
CUST0182,C043,1.0,94.5,None,54996.0,207291.0,68.5
CUST0183,C043,0.0,69.6,Likely,27308.0,76387.0,70.8
CUST0184,C043,1.0,91.2,Unclear,66040.0,155308.0,58.5
CUST0185,C043,0.0,88.8,None,42231.0,215264.0,59.3
CUST0186,C043,,100.0,Likely,44172.0,,60.0
CUST0187,C044,,15.0,Likely,13544.0,159366.0,45.0
CUST0188,C044,0.0,39.7,None,27647.0,104366.0,46.5
CUST0189,C044,0.0,48.2,Likely,0.0,,46.9
CUST0190,C044,1.0,51.6,None,15438.0,107542.0,55.0
CUST0191,C045,0.0,70.6,Likely,56096.0,128132.0,16.8
CUST0192,C045,,70.0,Unclear,,195496.0,26.3
CUST0194,C046,1.0,44.6,Unclear,19897.0,218298.0,33.6
CUST0198,C046,1.0,35.2,,,209063.0,29.3
CUST0196,C046,0.0,47.7,Likely,15540.0,131996.0,20.5
CUST0195,C046,0.0,41.9,Likely,2658.0,122132.0,37.3
CUST0197,C046,1.0,57.3,None,28.0,195558.0,34.5
CUST0206,C047,1.0,3.6,Likely,0.0,85321.0,86.6
CUST0199,C047,0.0,7.5,,0.0,17553.0,95.0
CUST0203,C047,0.0,24.4,Unclear,0.0,164003.0,70.4
CUST0200,C047,0.0,20.4,Confirmed,11888.0,134339.0,69.4
CUST0201,C047,1.0,0.0,None,23429.0,103528.0,72.5
CUST0207,C048,1.0,53.9,Unclear,32916.0,197686.0,10.6
CUST0208,C048,1.0,74.9,Confirmed,23582.0,175880.0,23.4
CUST0209,C048,0.0,,None,30162.0,306772.0,28.5
CUST0210,C048,1.0,79.9,,40714.0,203356.0,16.8
CUST0211,C049,1.0,27.0,Unclear,28992.0,189192.0,52.8
CUST0212,C049,1.0,,Unclear,14100.0,203670.0,56.7
CUST0213,C049,1.0,,Unclear,63900.0,236798.0,58.7
CUST0214,C049,1.0,44.3,,2588.0,161686.0,69.8
CUST0215,C050,1.0,47.7,Unclear,24308.0,74701.0,10.9
CUST0216,C050,0.0,50.3,Unclear,14964.0,200708.0,10.1
