customer_id,concept_id,trial_sessions,feature_clicks,repeat_usage_days,active_users,time_spent_minutes,abandoned_features
CUST0071,C018,4.0,39.0,6.0,4.0,38.6,1.0
CUST0072,C018,4.0,37.0,11.0,5.0,110.6,3.0
CUST0075,C018,,34.0,6.0,5.0,71.0,2.0
CUST0077,C019,6.0,20.0,15.0,6.0,155.2,0.0
CUST0078,C019,7.0,23.0,11.0,2.0,129.9,0.0
CUST0079,C019,7.0,13.0,10.0,2.0,69.7,0.0
CUST0084,C020,1.0,30.0,4.0,1.0,60.9,1.0
CUST0086,C020,2.0,21.0,,5.0,93.1,1.0
CUST0087,C020,4.0,20.0,6.0,3.0,49.4,0.0
CUST0088,C021,6.0,17.0,4.0,4.0,36.8,1.0
CUST0089,C021,5.0,15.0,,3.0,55.5,2.0
CUST0090,C021,,18.0,,3.0,83.1,1.0
CUST0091,C021,4.0,18.0,5.0,1.0,54.8,1.0
CUST0092,C022,3.0,12.0,,1.0,78.3,3.0
CUST0095,C022,6.0,17.0,3.0,3.0,39.2,0.0
CUST0098,C023,2.0,34.0,3.0,6.0,46.8,0.0
CUST0101,C024,4.0,25.0,6.0,3.0,44.6,0.0
CUST0102,C024,,23.0,6.0,1.0,9.4,4.0
CUST0104,C024,6.0,28.0,7.0,3.0,40.1,3.0
CUST0105,C025,5.0,41.0,5.0,5.0,103.7,0.0
CUST0106,C025,2.0,39.0,4.0,4.0,61.3,2.0
CUST0107,C025,2.0,,3.0,4.0,100.5,0.0
CUST0110,C025,1.0,37.0,4.0,,87.7,1.0
CUST0111,C025,4.0,33.0,6.0,2.0,90.1,1.0
CUST0112,C025,1.0,39.0,1.0,5.0,56.4,0.0
CUST0115,C026,,39.0,13.0,7.0,,0.0
CUST0116,C027,7.0,20.0,6.0,1.0,82.6,0.0
CUST0118,C028,5.0,30.0,2.0,1.0,27.9,2.0
CUST0119,C028,1.0,23.0,4.0,4.0,37.6,1.0
CUST0120,C028,4.0,34.0,5.0,,30.4,1.0
CUST0122,C028,1.0,25.0,3.0,3.0,74.0,3.0
CUST0123,C028,4.0,,0.0,8.0,15.0,2.0
CUST0124,C028,,33.0,3.0,,38.5,1.0
CUST0125,C028,3.0,36.0,,4.0,56.1,2.0
CUST0126,C029,6.0,35.0,4.0,7.0,69.8,0.0
CUST0127,C029,3.0,31.0,2.0,,37.2,2.0
CUST0128,C029,3.0,29.0,10.0,2.0,101.6,1.0
CUST0129,C029,7.0,30.0,8.0,4.0,37.3,2.0
CUST0130,C029,9.0,44.0,7.0,5.0,60.5,0.0
CUST0131,C029,7.0,27.0,6.0,2.0,90.8,1.0
CUST0132,C030,6.0,31.0,2.0,3.0,84.0,0.0
CUST0133,C030,8.0,31.0,9.0,6.0,38.0,2.0
CUST0135,C030,3.0,36.0,7.0,3.0,37.6,2.0
CUST0138,C031,4.0,28.0,5.0,3.0,37.6,2.0
CUST0140,C031,1.0,36.0,5.0,5.0,46.6,0.0
CUST0141,C032,12.0,45.0,3.0,8.0,72.6,0.0
CUST0142,C032,5.0,33.0,8.0,3.0,110.1,0.0
CUST0143,C032,7.0,32.0,4.0,9.0,93.1,0.0
CUST0144,C032,7.0,30.0,11.0,4.0,43.8,0.0
CUST0146,C033,6.0,27.0,8.0,6.0,84.6,1.0
CUST0148,C033,2.0,15.0,7.0,3.0,79.8,0.0
CUST0149,C033,10.0,20.0,11.0,4.0,84.9,0.0
CUST0150,C033,9.0,17.0,8.0,4.0,86.7,0.0
CUST0151,C033,9.0,20.0,5.0,2.0,70.3,0.0
CUST0152,C034,4.0,33.0,11.0,3.0,33.8,2.0
CUST0153,C034,12.0,32.0,6.0,8.0,103.7,1.0
CUST0154,C034,10.0,31.0,4.0,5.0,58.8,0.0
CUST0155,C035,,23.0,15.0,2.0,73.8,
CUST0160,C035,6.0,32.0,3.0,2.0,91.1,0.0
CUST0161,C036,6.0,25.0,5.0,1.0,47.5,1.0
CUST0162,C036,5.0,30.0,9.0,3.0,67.9,0.0
CUST0164,C037,2.0,39.0,2.0,1.0,66.0,4.0
CUST0165,C037,1.0,35.0,2.0,8.0,55.8,5.0
CUST0166,C037,4.0,42.0,0.0,4.0,1.0,1.0
CUST0167,C037,2.0,34.0,2.0,,56.7,2.0
CUST0168,C038,4.0,22.0,,3.0,73.8,2.0
CUST0169,C038,8.0,31.0,5.0,,,1.0
CUST0171,C039,2.0,14.0,5.0,2.0,83.2,0.0
CUST0173,C040,1.0,35.0,4.0,3.0,80.8,3.0
CUST0174,C040,,31.0,3.0,6.0,28.9,3.0
CUST0176,C041,,31.0,3.0,4.0,31.6,3.0
CUST0177,C041,2.0,28.0,2.0,3.0,,2.0
CUST0178,C042,3.0,19.0,6.0,1.0,29.6,2.0
CUST0179,C042,,17.0,6.0,3.0,57.9,5.0
CUST0182,C043,1.0,33.0,7.0,8.0,73.2,2.0
CUST0183,C043,4.0,45.0,9.0,,100.7,0.0
CUST0184,C043,5.0,38.0,9.0,,68.3,0.0
CUST0187,C044,4.0,,5.0,1.0,,0.0
CUST0189,C044,2.0,22.0,9.0,8.0,52.2,4.0
CUST0190,C044,4.0,14.0,3.0,,1.0,2.0
CUST0191,C045,4.0,40.0,6.0,7.0,21.4,1.0
CUST0193,C046,3.0,19.0,4.0,3.0,72.3,2.0
CUST0194,C046,5.0,,6.0,2.0,46.8,1.0
CUST0199,C047,8.0,18.0,1.0,3.0,,
CUST0201,C047,1.0,16.0,6.0,4.0,59.6,2.0
CUST0203,C047,5.0,10.0,3.0,2.0,55.9,3.0
CUST0204,C047,4.0,16.0,7.0,1.0,60.4,0.0
CUST0205,C047,6.0,18.0,2.0,1.0,51.7,
CUST0206,C047,2.0,16.0,3.0,1.0,47.6,2.0
CUST0207,C048,5.0,25.0,9.0,6.0,,1.0
CUST0208,C048,3.0,26.0,8.0,5.0,77.7,1.0
CUST0209,C048,,33.0,12.0,7.0,75.5,0.0
CUST0210,C048,3.0,34.0,6.0,5.0,69.8,0.0
CUST0213,C049,1.0,25.0,1.0,7.0,14.0,5.0
CUST0214,C049,1.0,20.0,0.0,3.0,,3.0
CUST0215,C050,5.0,15.0,4.0,2.0,,0.0
CUST0216,C050,6.0,26.0,10.0,6.0,41.6,0.0
